Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserRegistration,,,2019-01-18 11:24:33,2019-01-18 11:24:39,6.550s,PASSED
,,,,,,
Test Cases/UserRegistration/RegistrationFailure,,,2019-01-18 11:24:33,2019-01-18 11:24:37,4.242s,PASSED
"response = sendRequestAndVerify(findTestObject(""UserRegistrationFailure""))",,,2019-01-18 11:24:33,2019-01-18 11:24:37,3.765s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-01-18 11:24:37,2019-01-18 11:24:37,0.014s,PASSED
,,,,,,
Test Cases/UserRegistration/registrationSuccess,,,2019-01-18 11:24:37,2019-01-18 11:24:39,1.894s,PASSED
"response = sendRequestAndVerify(findTestObject(""UserRegistration""))",,,2019-01-18 11:24:37,2019-01-18 11:24:39,1.753s,PASSED
"verifyResponseStatusCode(response, 201)",,,2019-01-18 11:24:39,2019-01-18 11:24:39,0.002s,PASSED
