Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserRegistration,,,2019-01-18 10:33:36,2019-01-18 10:33:43,7.401s,PASSED
,,,,,,
Test Cases/UserRegistration/RegistrationFailure,,,2019-01-18 10:33:36,2019-01-18 10:33:41,4.755s,PASSED
"response = sendRequestAndVerify(findTestObject(""UserRegistrationFailure""))",,,2019-01-18 10:33:37,2019-01-18 10:33:41,4.267s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-01-18 10:33:41,2019-01-18 10:33:41,0.015s,PASSED
,,,,,,
Test Cases/UserRegistration/registrationSuccess,,,2019-01-18 10:33:41,2019-01-18 10:33:43,2.201s,PASSED
"response = sendRequestAndVerify(findTestObject(""UserRegistration""))",,,2019-01-18 10:33:41,2019-01-18 10:33:43,2.024s,PASSED
"verifyResponseStatusCode(response, 201)",,,2019-01-18 10:33:43,2019-01-18 10:33:43,0.002s,PASSED
