Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Listusers,,,2019-01-22 16:29:49,2019-01-22 16:29:58,9.369s,ERROR
,,,,,,
Test Cases/ListUsers/ListUsers,,,2019-01-22 16:29:49,2019-01-22 16:29:55,6.173s,ERROR
"response = sendRequestAndVerify(findTestObject(""User/LIST USERS""))",,,2019-01-22 16:29:50,2019-01-22 16:29:55,5.493s,PASSED
"verifyElementPropertyValue(response, firstNamePath, firstName)",,,2019-01-22 16:29:55,2019-01-22 16:29:55,0.089s,ERROR
,,,,,,
Test Cases/ListUsers/ListUsers,,,2019-01-22 16:29:55,2019-01-22 16:29:57,1.337s,ERROR
"response = sendRequestAndVerify(findTestObject(""User/LIST USERS""))",,,2019-01-22 16:29:56,2019-01-22 16:29:57,1.238s,PASSED
"verifyElementPropertyValue(response, firstNamePath, firstName)",,,2019-01-22 16:29:57,2019-01-22 16:29:57,0.030s,ERROR
,,,,,,
Test Cases/ListUsers/ListUsers,,,2019-01-22 16:29:57,2019-01-22 16:29:58,1.355s,ERROR
"response = sendRequestAndVerify(findTestObject(""User/LIST USERS""))",,,2019-01-22 16:29:57,2019-01-22 16:29:58,1.321s,PASSED
"verifyElementPropertyValue(response, firstNamePath, firstName)",,,2019-01-22 16:29:58,2019-01-22 16:29:58,0.013s,ERROR
